Station Name,Latitude,Longitude,Number of Bikes
"C/ ENTENÇA, 137",41.381951,2.147474,6
"C/ LONDRES,  53",41.3912605,2.1476308,3
ESPAIS NATURALS-PG.DE LLUíS COMPANYS ,41.391313,2.1808391,16
"PL. CATALUNYA, 7",41.386543,2.169427,7
"C/ ARTESA DE SEGRE, 2",41.402988,2.1344691,11
"C/RADI,10/GRAN VIA DE LES CORTS CATALANES",41.363279,2.1341586,2
"C/ DE L'ENERGIA, 2 / ALTS FORNS",41.3573288,2.1371996,18
"GRAN VIA DE LES CORTS CATALANES, 632",41.3890626,2.1679313,10
"C/ LISBOA, 128",41.4267638,2.1521909,2
"PG. FABRA I PUIG, 411",41.4357978,2.163872,2
PG. MARÍTIM DE LA BARCELONETA/ANDREA DÒRIA,41.380955,2.1934636,20
"C/ CASTILLEJOS, 184",41.4021805,2.1829894,6
"C/ ARIZALA, 77",41.3789061,2.1233038,0
"C/ PROVENÇA, 445",41.4048623,2.174799,1
"GRAN VIA DE LES CORTS CATALANES, 368",41.3741093,2.1481993,15
"PL. CATALUNYA, 10-11 (LA RAMBLA)",41.387493,2.1690686,7
"C/ SARDENYA, 66",41.3913036,2.189476,4
"C/ DEL DR. AIGUADER, 72 / PG. SALVAT PAPASSEIT",41.3838369,2.1914756,7
"C/ SANT PERE D´ABANTO, 2",41.371366,2.143565,2
"C/ DIPUTACIÓ, 22",41.377846,2.150523,7
"AV.LITORAL, 84",41.3979002,2.2088454,22
"C/ SANT ADRIÀ, 2-8",41.433934,2.1896502,6
"C/ MÉNDEZ NÚÑEZ, 16",41.3900544,2.1775594,2
"C/ SANCHO DE ÁVILA,  104 - C/ BADAJOZ",41.4003793,2.1924144,2
"C/ ESPRONCEDA, 298",41.4158807,2.1908473,9
